"time","ticket","race","sex","speed","limit","state","modelyear","percentover"
1640,1,"B","F",84,65,"DE",97,29.23
1708,1,"B","M",89,65,"PA",89,36.92
1725,1,"W","F",84,65,"MD",97,29.23
1737,1,"B","M",87,65,"VA",82,33.85
1752,1,"W","M",84,65,"NH",95,29.23
730,1,"W","F",76,65,"DC",91,16.92
737,1,"W","F",76,65,"NJ",89,16.92
743,1,"W","F",75,65,"VT",93,15.38
751,1,"W","F",75,65,"MD",97,15.38
801,1,"B","M",89,65,"MD",96,36.92
1556,1,"W","F",71,55,"MD",93,29.09
1607,1,"W","F",71,55,"MD",92,29.09
2028,1,"W","F",79,65,"PA",88,21.54
2046,1,"W","F",74,55,"MD",97,34.55
2100,1,"W","F",73,65,"MD",94,12.31
1515,1,"W","M",81,65,"MD",87,24.62
1451,1,"B","M",93,65,"PA",98,43.08
725,1,"W","M",76,65,"MD",95,16.92
1000,1,"B","F",78,65,"MD",94,20
1340,1,"W","M",78,65,"NY",89,20
1320,1,"W","M",79,65,"GA",92,21.54
1050,1,"W","M",81,65,"MD",92,24.62
26,1,"W","F",75,65,"MA",93,15.38
803,1,"B","F",82,65,"PA",87,26.15
818,1,"W","F",83,65,"PA",84,27.69
938,1,"W","M",79,65,"NY",94,21.54
957,1,"W","F",78,65,"MD",97,20
1100,1,"B","M",89,65,"PA",97,36.92
1120,1,"W","M",77,65,"NC",97,18.46
1150,1,"W","M",76,65,"PA",97,16.92
1150,1,"W","M",79,65,"FL",92,21.54
840,1,"B","F",79,65,"MD",89,21.54
1158,1,"B","M",79,65,"MA",95,21.54
1325,1,"W","F",79,65,"NY",94,21.54
806,1,"W","M",78,65,"FL",95,20
819,1,"W","F",81,65,"MD",90,24.62
830,1,"W","M",81,65,"PA",97,24.62
848,1,"B","M",81,65,"MD",94,24.62
828,1,"B","M",81,65,"NJ",97,24.62
1203,1,"W","M",77,65,"NY",96,18.46
1302,1,"W","M",79,65,"DE",97,21.54
1140,1,"B","M",80,65,"MD",93,23.08
850,1,"W","M",84,65,"NJ",68,29.23
935,1,"B","M",79,65,"NC",96,21.54
915,1,"W","M",84,65,"NY",93,29.23
1220,1,"B","M",84,65,"MD",92,29.23
1211,1,"W","M",80,65,"FL",97,23.08
715,1,"W","M",83,65,"MD",97,27.69
818,1,"W","F",74,55,"MD",92,34.55
1001,1,"W","M",78,65,"MD",92,20
903,1,"B","F",72,56,"MD",94,28.57
805,1,"W","M",81,65,"NJ",91,24.62
733,1,"B","F",76,55,"MD",92,38.18
2345,1,"B","M",94,55,"PA",79,70.91
1240,1,"B","M",74,55,"MD",86,34.55
852,1,"W","M",80,65,"MD",96,23.08
905,1,"B","M",76,65,"VA",91,16.92
918,1,"B","F",84,65,"MD",81,29.23
1020,1,"W","M",75,65,"MD",96,15.38
1151,1,"B","F",76,65,"NJ",91,16.92
1205,1,"W","M",78,65,"MD",96,20
730,1,"W","M",79,65,"PA",97,21.54
140,1,"W","M",81,65,"NJ",97,24.62
16,1,"W","M",88,65,"NJ",94,35.38
1530,1,"W","M",74,65,"VA",97,13.85
1610,1,"W","M",78,65,"MD",87,20
2202,1,"B","M",74,65,"NY",93,13.85
