"state_name","state_abbr","county_name","county_fips","votes_gop_2020","votes_dem_2020","total_votes_2020","per_gop_2020","per_dem_2020","per_point_diff_2020","votes_dem_2016","votes_gop_2016","total_votes_2016","per_dem_2016","per_gop_2016","per_point_diff_2016","total_votes_2012","votes_dem_2012","votes_gop_2012","per_dem_2012","per_gop_2012","per_point_diff_2012"
"Georgia","GA","Taliaferro County",13265,360,561,928,0.387931034482759,0.604525862068966,-0.216594827586207,545,349,897,0.607580824972129,0.389074693422519,0.21850613154961,961,636,321,0.661810613943809,0.334027055150884,0.327783558792924
"Georgia","GA","Tattnall County",13267,6054,2062,8185,0.739645693341478,0.251924251679902,0.487721441661576,1678,5092,6879,0.243930803895915,0.74022386974851,-0.496293065852595,6658,1894,4702,0.28446981075398,0.706218083508561,-0.421748272754581
"Georgia","GA","Taylor County",13269,2420,1388,3842,0.629880270692348,0.361270171785528,0.268610098906819,1295,2062,3402,0.380658436213992,0.606114050558495,-0.225455614344503,3537,1571,1948,0.444161718970879,0.550749222504948,-0.106587503534068
"Georgia","GA","Telfair County",13271,2825,1488,4334,0.651822796492847,0.343331795108445,0.308491001384402,1313,2449,3794,0.34607274644175,0.645492883500264,-0.299420137058513,4334,1804,2479,0.416243654822335,0.571988924780803,-0.155745269958468
"Georgia","GA","Terrell County",13273,2004,2376,4416,0.453804347826087,0.53804347826087,-0.0842391304347825,2267,1872,4179,0.542474276142618,0.447954055994257,0.0945202201483609,4398,2544,1834,0.578444747612551,0.417007730786721,0.16143701682583
"Georgia","GA","Thomas County",13275,12969,8708,21872,0.592949890270666,0.398134601316752,0.194815288953914,7138,11225,18730,0.381099839829151,0.59930592632141,-0.218206086492258,18943,7651,11153,0.403895898220979,0.58876629889669,-0.184870400675711
"Georgia","GA","Tift County",13277,10784,5318,16279,0.662448553350943,0.326678542908041,0.335770010442902,3892,8680,12796,0.304157549234136,0.678336980306346,-0.37417943107221,13893,4640,9171,0.333981141582092,0.660116605484776,-0.326135463902685
"Georgia","GA","Toombs County",13279,7873,2938,10914,0.721367051493495,0.269195528678761,0.452171522814733,2338,6612,9108,0.256697408871322,0.725955204216074,-0.469257795344752,9333,2740,6519,0.293581913639773,0.698489231758277,-0.404907318118504
"Georgia","GA","Towns County",13281,6384,1550,7979,0.800100263190876,0.194259932322346,0.60584033086853,1206,5377,6726,0.179304192685103,0.799435028248588,-0.620130835563485,6159,1265,4834,0.20539048546842,0.784867673323592,-0.579477187855171
"Georgia","GA","Treutlen County",13283,2101,952,3077,0.682807929801755,0.30939226519337,0.373415664608385,860,1808,2700,0.318518518518519,0.66962962962963,-0.351111111111111,2738,1068,1646,0.390065741417093,0.601168736303871,-0.211102994886779
"Georgia","GA","Troup County",13285,18142,11577,30047,0.603787399740407,0.385296369021866,0.218491030718541,9597,15643,25793,0.372077695498779,0.606482378940022,-0.234404683441244,25975,10545,15170,0.405967276227141,0.584023099133782,-0.178055822906641
"Georgia","GA","Turner County",13287,2349,1409,3791,0.619625428646795,0.371669744130836,0.247955684515959,1243,2094,3390,0.366666666666667,0.617699115044248,-0.251032448377581,3556,1508,2027,0.424071991001125,0.570022497187851,-0.145950506186727
"Georgia","GA","Twiggs County",13289,2370,2044,4444,0.533303330333033,0.45994599459946,0.0733573357335734,1970,2034,4053,0.486059708857636,0.501850481125093,-0.0157907722674562,4199,2269,1905,0.540366753989045,0.453679447487497,0.086687306501548
"Georgia","GA","Union County",13291,12650,2800,15558,0.813086514976218,0.179971718729914,0.633114796246304,1962,9849,12039,0.162970346374284,0.818091203588338,-0.655120857214054,11072,2137,8771,0.193009393063584,0.792178468208092,-0.599169075144509
"Georgia","GA","Upson County",13293,8606,4203,12905,0.666873304920573,0.325687717938783,0.34118558698179,3471,7288,10924,0.317740754302453,0.667154888319297,-0.349414134016844,11257,3955,7229,0.351336945900329,0.642178200230967,-0.290841254330639
"Georgia","GA","Walker County",13295,23173,5770,29354,0.789432445322614,0.196566055733461,0.592866389589153,4213,18938,23939,0.175988971970425,0.791094030661264,-0.615105058690839,21879,5269,16245,0.240824534942182,0.742492801316331,-0.501668266374149
"Georgia","GA","Walton County",13297,37839,12683,51093,0.740590687569726,0.248233613215118,0.492357074354608,8279,31093,40425,0.204799010513296,0.769152752009895,-0.564353741496599,37570,8139,29018,0.216635613521427,0.772371573063615,-0.555735959542188
