"airport","total_time","distance","month","day_of_week","scheduled_departure","scheduled_arrival","arrival_time","departure_delay","late_night_departure","thursday","delayed"
"ORD",193,1197,7,6,1630,2043,2043,-1,FALSE,FALSE,FALSE
"ORD",149,1005,6,1,600,941,929,-6,TRUE,FALSE,FALSE
"MSP",32,76,8,3,1329,1415,1401,-5,FALSE,FALSE,FALSE
"ORD",334,1723,5,3,1625,1849,1959,81,FALSE,FALSE,TRUE
"LAX",256,1979,3,1,715,1445,1431,4,FALSE,FALSE,FALSE
"ORD",171,978,5,3,1922,2208,2213,0,FALSE,FALSE,FALSE
"ORD",155,342,6,4,2200,2317,35,80,TRUE,TRUE,TRUE
"ORD",106,522,12,7,1850,2039,2036,-2,FALSE,FALSE,FALSE
"ORD",70,299,7,4,1739,1902,1849,-3,FALSE,TRUE,FALSE
"MSP",144,695,5,1,910,1117,1134,14,FALSE,FALSE,FALSE
"LAX",67,308,4,5,925,1030,1032,-1,FALSE,FALSE,FALSE
"MSP",63,334,8,5,954,1124,1057,-9,FALSE,FALSE,FALSE
"LAX",132,862,4,5,540,905,852,0,FALSE,FALSE,FALSE
"LAX",78,370,8,7,1900,2020,2018,2,FALSE,FALSE,FALSE
"LAX",76,370,9,4,1205,1332,1321,-7,FALSE,TRUE,FALSE
"MSP",61,297,8,3,705,814,806,1,FALSE,FALSE,FALSE
"ORD",69,173,11,1,2226,2322,2335,1,FALSE,FALSE,FALSE
"LAX",298,2239,8,2,1020,1825,1818,-2,FALSE,FALSE,FALSE
"ORD",242,1250,1,4,750,1029,1052,22,FALSE,TRUE,FALSE
"LAX",71,308,11,6,2215,2329,2326,-8,FALSE,FALSE,FALSE
"LAX",76,236,5,3,2200,2315,2316,16,TRUE,FALSE,FALSE
"LAX",199,1235,3,7,1310,1814,1829,5,FALSE,FALSE,FALSE
"LAX",61,308,9,7,1900,2005,2001,-3,FALSE,FALSE,FALSE
"ORD",146,678,1,2,1820,2119,2146,19,FALSE,FALSE,FALSE
"MSP",209,936,6,6,1641,2005,2110,65,FALSE,FALSE,TRUE
"LAX",302,2454,4,5,1358,2234,2200,1,FALSE,FALSE,FALSE
"LAX",58,110,7,2,2235,2328,2333,9,FALSE,FALSE,FALSE
"ORD",299,1744,8,7,2105,2335,4,56,FALSE,FALSE,TRUE
"ORD",154,606,12,6,1030,1333,1404,-2,FALSE,FALSE,FALSE
"MSP",168,991,4,7,700,855,848,-3,FALSE,FALSE,FALSE
"LAX",278,2329,12,7,2205,610,543,7,FALSE,FALSE,FALSE
"MSP",43,190,8,1,1419,1521,1502,-3,FALSE,FALSE,FALSE
"LAX",95,337,2,5,2232,2351,7,24,FALSE,FALSE,FALSE
"LAX",77,337,2,1,650,813,807,-3,FALSE,FALSE,FALSE
"LAX",143,954,4,5,2115,2357,2338,-8,FALSE,FALSE,FALSE
"ORD",96,466,3,4,1220,1406,1356,-6,FALSE,TRUE,FALSE
"ORD",116,599,9,6,900,1202,1156,-6,FALSE,FALSE,FALSE
"LAX",285,2329,9,2,959,1805,1744,-7,FALSE,FALSE,FALSE
"ORD",156,1012,11,3,1734,2116,2110,-3,FALSE,FALSE,FALSE
"ORD",36,67,9,6,2050,2139,2126,-4,FALSE,FALSE,FALSE
"LAX",184,1211,3,2,911,1405,1415,20,FALSE,FALSE,FALSE
"LAX",292,2342,11,6,855,1651,1647,5,FALSE,FALSE,FALSE
"ORD",103,589,7,3,600,855,843,-1,TRUE,FALSE,FALSE
"LAX",152,954,2,4,1940,2220,2212,-7,FALSE,TRUE,FALSE
"ORD",66,323,8,4,1544,1802,1750,0,FALSE,TRUE,FALSE
"MSP",49,196,9,2,1529,1633,1618,-9,FALSE,FALSE,FALSE
"MSP",231,1576,7,5,1742,1936,1933,0,FALSE,FALSE,FALSE
"LAX",83,337,12,6,2000,2126,2123,-2,FALSE,FALSE,FALSE
"ORD",246,1514,8,7,2155,2341,1,20,FALSE,FALSE,FALSE
"ORD",173,1182,5,2,642,1050,1035,-1,FALSE,FALSE,FALSE
"ORD",77,213,11,7,2057,2205,2214,7,FALSE,FALSE,FALSE
"ORD",237,1514,11,1,1554,1758,1751,-2,FALSE,FALSE,FALSE
"LAX",169,1242,5,3,815,1310,1304,1,FALSE,FALSE,FALSE
"ORD",98,118,11,5,1642,1837,1920,45,FALSE,FALSE,TRUE
"LAX",233,1750,6,3,905,1500,1458,-1,FALSE,FALSE,FALSE
"LAX",40,89,5,7,947,1037,1027,-9,FALSE,FALSE,FALSE
"MSP",158,455,2,1,1300,1535,1638,54,FALSE,FALSE,TRUE
"ORD",61,196,7,3,746,853,847,-9,FALSE,FALSE,FALSE
"ORD",230,1440,3,5,730,1015,1020,16,FALSE,FALSE,FALSE
"LAX",230,1744,3,7,1645,2240,2235,4,FALSE,FALSE,FALSE
"ORD",167,802,1,7,2005,2233,2252,44,FALSE,FALSE,TRUE
"ORD",57,316,11,1,1345,1605,1542,-5,FALSE,FALSE,FALSE
"ORD",102,585,1,5,1450,1647,1632,8,FALSE,FALSE,FALSE
"ORD",130,867,6,5,755,1118,1105,-3,FALSE,FALSE,FALSE
"LAX",260,1744,5,3,1015,1626,1635,3,FALSE,FALSE,FALSE
"LAX",150,784,2,1,844,1206,1214,15,FALSE,FALSE,FALSE
"LAX",76,337,8,2,2015,2145,2131,0,FALSE,FALSE,FALSE
"ORD",82,409,9,7,2055,2224,2217,-2,FALSE,FALSE,FALSE
"LAX",274,1379,6,7,1728,2249,2,85,FALSE,FALSE,TRUE
"LAX",286,1979,8,4,1335,2105,2121,9,FALSE,TRUE,FALSE
"MSP",133,334,8,6,1830,2006,2043,54,FALSE,FALSE,TRUE
"LAX",311,2475,1,4,1425,2248,2236,-6,FALSE,TRUE,FALSE
"LAX",290,1979,6,6,700,1425,1450,-4,FALSE,FALSE,FALSE
"ORD",62,235,1,2,2215,24,17,-3,FALSE,FALSE,FALSE
"LAX",303,2343,4,4,2249,637,652,28,FALSE,TRUE,FALSE
"MSP",69,284,2,1,1526,1643,1635,-6,FALSE,FALSE,FALSE
"LAX",132,715,8,4,830,1140,1142,17,FALSE,TRUE,FALSE
"LAX",65,308,5,3,645,806,750,-7,FALSE,FALSE,FALSE
"ORD",56,223,9,3,2144,2349,2340,-1,FALSE,FALSE,FALSE
"LAX",89,89,4,4,1446,1537,1615,39,FALSE,TRUE,TRUE
"ORD",165,599,7,1,1550,1848,1935,46,FALSE,FALSE,TRUE
"MSP",71,284,8,5,2145,2257,2256,0,FALSE,FALSE,FALSE
"MSP",67,334,11,6,1300,1430,1407,-9,FALSE,FALSE,FALSE
"MSP",109,680,9,3,1156,1311,1245,-8,FALSE,FALSE,FALSE
"LAX",94,590,2,7,730,1027,1004,-2,FALSE,FALSE,FALSE
"ORD",102,642,11,5,1435,1728,1717,-4,FALSE,FALSE,FALSE
"ORD",103,235,5,4,750,1009,1033,29,FALSE,TRUE,FALSE
"ORD",232,1723,1,2,2125,2344,2317,0,FALSE,FALSE,FALSE
"MSP",100,546,5,1,1951,2153,2131,-3,FALSE,FALSE,FALSE
"ORD",203,528,8,7,1347,1631,1810,105,FALSE,FALSE,TRUE
"ORD",80,475,4,6,905,1147,1125,-5,FALSE,FALSE,FALSE
"ORD",118,867,12,4,1005,1317,1303,0,FALSE,TRUE,FALSE
"LAX",295,2329,4,5,720,1525,1515,3,FALSE,FALSE,FALSE
"ORD",117,316,12,1,752,1009,1049,41,FALSE,FALSE,TRUE
"ORD",75,235,11,1,2213,34,28,-2,FALSE,FALSE,FALSE
"LAX",266,2125,2,6,600,1332,1326,-6,TRUE,FALSE,FALSE
"LAX",160,954,9,5,1420,1658,1700,-4,FALSE,FALSE,FALSE
"ORD",150,888,8,4,1220,1355,1350,0,FALSE,TRUE,FALSE
"LAX",210,1797,3,1,740,1335,1310,-1,FALSE,FALSE,FALSE
"ORD",44,130,1,5,2016,2113,2100,-3,FALSE,FALSE,FALSE
"ORD",144,612,9,4,1600,1858,1924,23,FALSE,TRUE,FALSE
"MSP",229,1276,2,6,520,742,809,4,FALSE,FALSE,FALSE
"ORD",147,802,9,2,920,1134,1147,0,FALSE,FALSE,FALSE
