district,wholename,namefirst,namelast,party,votes1st,incumb,incumby,wonseat,m,electorate,senator,councillor,incministerstate,incminister,votes1997,valid1997,ptyvote1997,candptytotvote1997,voteshare1997,redistricted,gender,bday,count2,count3,count4,count5,count6,count7,count8,count9,count10,count11,count12,count13,count14,count15,count16,constituency,spend_party,spend_total,spend_public,spend_minor,assigned,spendlimit,assignedpct,minister,cexplimit,advert,publicity,election,otherexp,officestat,transport,market,campaign,totalexp,spend_cand,cexpincurred,marginalcand,ffbounce_ff,ffbounce_pd,ffbounce_lb,ffbounce_green,ffbounce_sf,ffbounce_oth,fgb_ff,fgb_pd,fgb_lb,fgb_green,fgb_sf,fgb_oth,labb_pd,labb_green,labb_lab,labb_sf,labb_oth,othrb_ff,othb_pd,othb_lab,othb_sf,othb_oth,ffbounce_fg,fgb_fg,labb_ff,labb_fg,othb_fg,othb_green,_merge,ffm,fgm,labm,othm,greenm,sfm,marginal
Cork South Central,Deirdre Clune,Deirdre,Clune,fg,5535,Yes,0,0,5,88737,0,0,0,0,4602,55039,0.305728674,16827,0.08361344,minor,f,NA,5850,5888,5984,6077,6595,0,0,0,0,0,0,0,0,0,0,CorkSC,3043.77002,23963.89063,3383.870117,NA,NA,38092.14063,NA,0,20950.66992,453.75,1311.859985,7776.890137,7546.149902,3831.469971,0,0,0,20920.11914,20920.11914,20920.11914,2,3,0,0,1,0,0,3,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,1,2,3,1,1,1,3,0,1,1,0,1,0,1
Dublin West,Deirdre Doherty-Ryan,Deirdre,Doherty-Ryan,ff,2300,No,0,0,3,52161,0,0,0,0,NA,NA,NA,NA,NA,major,f,NA,2386,2698,3056,3728,0,0,0,0,0,0,0,0,0,0,0,DublinW,2900.110107,13495.91992,NA,NA,12697.37988,25394.75977,50,0,12697.37988,337,0,3634.449951,5272.890137,1351.469971,0,0,0,10595.80957,10595.80957,10595.80957,3,1,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,3,0,1,1,0,0,0,0
Dublin North Central,Deirdre Heney,Deirdre,Heney,ff,5533,No,0,0,4,65199,0,0,0,0,NA,NA,NA,NA,NA,major,f,NA,5564,5627,5802,6101,6527,0,0,0,0,0,0,0,0,0,0,DublinNC,3981.5,15891.5498,NA,119.1999969,15871.5,31743.44922,49.99929428,0,15871.9502,926.4699707,0,6161.709961,4535.72998,286.1400146,0,0,0,11910.0498,11910.0498,11910.0498,2,2,0,1,0,0,0,2,0,1,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,2,0,0,0,3,0,0,1,1,0,0,0
Dublin South,Deirdre Whelan,Deirdre,Whelan,sf,2172,No,0,0,5,91666,0,0,0,0,NA,NA,NA,NA,NA,minor,f,NA,2345,2347,2474,0,0,0,0,0,0,0,0,0,0,0,0,DublinS,114.75,9383.230469,NA,NA,NA,38092.14063,NA,0,32092.14063,1149.5,0,3351.699951,4767.279785,0,0,0,0,9268.480469,9268.480469,9268.480469,3,2,1,0,1,0,0,2,1,0,0,0,0,1,0,1,0,0,2,1,0,0,0,1,2,2,1,1,1,3,0,1,1,0,1,0,0
Wicklow,Deirdre de Burca,Deirdre,de Burca,gp,3208,No,0,0,5,87909,0,1,0,0,NA,NA,NA,NA,NA,no,f,NA,3217,3245,3282,3505,3566,4031,0,0,0,0,0,0,0,0,0,Wicklow,0,11968.49023,NA,NA,NA,38092.14063,NA,0,38092.14063,442.8599854,0,6623.600098,4652.029785,250,0,0,0,11968.49023,11968.49023,11968.49023,3,2,0,1,0,0,1,2,0,1,0,0,1,0,0,2,0,1,2,0,1,0,1,1,1,1,1,1,0,3,1,0,1,0,0,0,0
Tipperary South,Denis Landy,Denis,Landy,lab,3353,No,0,0,3,54900,0,1,0,0,NA,NA,NA,NA,NA,no,m,NA,3555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TippS,1560.390015,7085.990234,NA,NA,NA,25394.75977,NA,0,15236.86035,1542.869995,0,779.0100098,3053.129883,68.58999634,82,0,0,5525.600098,5525.600098,5525.600098,3,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,0,3,0,0,0,0,0,0,0
Longford Roscommon,Denis Naughten,Denis,Naughten,fg,6660,Yes,0,1,4,69172,0,0,0,0,6652,47280,0.369120121,17452,0.140693739,no,m,6/1/72,6686,6722,6921,7076,7431,9506,11614,9938,9938,0,0,0,0,0,0,LongfordR,33.88000107,11710.5498,2860.25,578.9699707,NA,31743.44922,NA,0,12448.4502,2547.850098,354.6700134,3571.129883,2158.360107,1097.75,0,0,1946.910034,11676.66992,11676.66992,11676.66992,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,2,2,2,1,0,3,0,1,0,0,0,0,1
Dun Laoghaire,Denis O Buachalla,Denis,O Buachalla,ind,346,No,0,0,5,90219,0,0,0,0,NA,NA,NA,NA,NA,minor,m,NA,353,361,380,0,0,0,0,0,0,0,0,0,0,0,0,DunL,0,5814.419922,NA,NA,NA,38092.14063,NA,0,38092.14063,1248.5,600,1045.849976,2680.699951,76.26000214,163.1100006,0,0,5814.419922,5814.419922,5814.419922,3,2,0,2,0,0,0,2,0,2,0,0,0,0,0,2,0,0,2,0,1,0,0,1,1,2,1,1,1,3,0,0,1,0,1,0,0
Cork South West,Denis O'Donovan,Denis,O'Donovan,ff,7695,No,0,1,3,53672,0,0,0,0,6081,34995,0.390541494,13667,0.173767686,no,m,7/1/55,7774,7862,8277,8863,10179,9425,0,0,0,0,0,0,0,0,0,CorkSW,7070.040039,18836.93945,410,NA,12697.37988,25394.75977,50,0,12697.37988,3511.419922,0,2346.98999,3413.850098,2494.639893,0,0,0,11766.90039,11766.90039,11766.90039,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,2,1,1,2,0,3,0,1,1,0,0,0,0
Dublin North Central,Derek McDowell,Derek,McDowell,lab,4203,Yes,0,0,4,65199,0,0,0,0,2848,43165,0.065979384,2848,0.065979384,major,m,NA,4285,4431,4719,5548,0,0,0,0,0,0,0,0,0,0,0,DublinNC,3603.840088,24922.68945,3602.5,NA,NA,31743.44922,NA,0,21319.44922,1028.5,0,1145.630005,13442.62012,5702.100098,0,0,0,21318.84961,21318.84961,21318.84961,2,2,0,1,0,0,0,2,0,1,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,2,0,0,0,3,0,0,1,1,0,0,1
Clare,Derek Whelan,Derek,Whelan,csp,176,No,0,0,4,78643,0,0,0,0,NA,NA,NA,NA,NA,no,m,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Clare,0,140,NA,NA,NA,31743.44922,NA,0,31743.44922,0,0,0,0,40,100,0,0,140,140,140,3,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2,3,1,2,0,3,1,1,0,0,0,0,0
Louth,Dermot Ahern,Dermot,Ahern,ff,9603,Yes,0,1,4,80924,0,0,0,1,10192,45008,0.400151074,18010,0.226448625,no,m,2/1/55,9603,9603,9525,9525,9525,9525,9525,0,0,0,0,0,0,0,0,Louth,3069.090088,9769.929688,NA,NA,15871.5,31743.44922,49.99929428,1,15871.9502,2152.98999,44.27999878,2162,2208.25,0,133.3200073,0,0,6700.839844,6700.839844,6700.839844,1,2,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,2,2,1,2,0,3,0,1,1,0,0,0,0
Dublin Central,Dermot Fitzpatrick,Dermot,Fitzpatrick,ff,2592,No,0,1,4,61194,1,0,0,0,NA,NA,NA,NA,NA,minor,m,4/1/40,4857,4970,5046,5563,6270,6424,0,0,0,0,0,0,0,0,0,DublinC,9004.450195,23825.53906,1871.040039,NA,15871.73047,31743.44922,50.00001907,0,15871.71973,300,0,7557.970215,5092.080078,790.039978,0,0,1081,14821.08984,14821.08984,14821.08984,2,2,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,1,1,0,0,1,1,1,1,1,1,1,0,3,1,0,1,1,0,1,1
Cavan Monaghan,Des Cullen,Des,Cullen,lab,550,No,0,0,5,87087,0,0,0,0,NA,NA,NA,NA,NA,no,m,NA,566,572,0,0,0,0,0,0,0,0,0,0,0,0,0,CavanM,5021.330078,8756.669922,NA,NA,NA,38092.14063,NA,0,22855.2793,1092.459961,0,0,2642.879883,0,0,0,0,3735.340088,3735.340088,3735.340088,3,2,0,0,0,1,0,2,0,0,0,1,0,0,0,0,1,0,2,0,0,1,0,2,2,2,2,2,0,3,0,0,0,0,0,0,0
Dublin Mid West,Des Kelly,Des,Kelly,ff,3218,No,0,0,3,54793,0,0,0,0,NA,NA,NA,NA,NA,new constituency,m,NA,3232,3237,3290,3381,3434,3625,3737,0,0,0,0,0,0,0,0,DublinMidW,2976.820068,13437.82031,NA,NA,12697.37988,25394.75977,50,0,12697.37988,460,0,5713,2843,935,510,0,0,10461,10461,10461,2,1,1,1,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,3,0,1,1,1,1,0,0
Dublin North West,Dessie Ellis,Dessie,Ellis,sf,4781,No,0,0,3,47394,0,1,0,0,NA,NA,NA,NA,NA,major,m,NA,4799,4825,4993,5098,5602,0,0,0,0,0,0,0,0,0,0,DublinNW,0,10772.88965,NA,151.3399963,NA,25394.75977,NA,0,25394.75977,2623.699951,0,899.6400146,6960.660156,288.8900146,0,0,0,10772.88965,10772.88965,10772.88965,2,2,0,1,0,0,0,2,0,1,0,0,0,0,0,1,0,0,2,0,1,0,1,1,1,2,1,1,0,3,0,0,0,1,0,0,0
Wicklow,Dick Roche,Dick,Roche,ff,9213,Yes,0,1,5,87909,0,0,0,0,6101,52296,0.298665285,15619,0.116662845,no,m,3/1/47,9105,9105,9105,9105,9105,9105,9105,9105,0,0,0,0,0,0,0,Wicklow,7846.319824,22796.2793,39.36000061,NA,19046,38092.14063,49.99981689,0,19046.14063,2689.649902,0,3843.52002,3795.040039,400,0,0,4221.75,14949.95996,14949.95996,14949.95996,2,2,0,1,0,0,1,2,0,1,0,0,1,0,0,2,0,1,2,0,1,0,1,1,1,1,1,1,0,3,1,0,1,0,0,0,1
Kerry North,Dick Spring,Dick,Spring,lab,8773,Yes,0,0,3,54670,0,0,0,0,10699,35779,0.299030155,10699,0.299030155,no,m,NA,9166,9353,0,0,0,0,0,0,0,0,0,0,0,0,0,KerryN,3470.469971,13260.2998,2823.590088,NA,NA,25394.75977,NA,0,17394.75977,900.3800049,0,0,4469,1759.859985,640,0,2020.589966,9789.830078,9789.830078,9789.830078,2,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,1,1,0,3,1,0,0,0,0,1,0
Donegal South West,Dinny McGinley,Dinny,McGinley,fg,4378,Yes,0,1,3,53672,0,0,0,0,5679,32440,0.229747221,7453,0.175061658,no,m,4/1/45,4484,4512,4797,5216,5921,6002,7370,0,0,0,0,0,0,0,0,DonegalSW,1912.5,15501.09961,3473.409912,NA,NA,25394.75977,NA,0,13604.75977,1566.400024,300,3592.439941,2848.02002,4355.390137,926.3499756,0,0,13588.59961,13588.59961,13588.59961,2,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,2,1,1,0,3,0,0,0,1,0,0,0
Kerry South,Donal Barry,Donal,Barry,ind,934,No,0,0,3,50850,0,0,0,0,NA,NA,NA,NA,NA,no,m,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KerryS,0,5169.100098,NA,177.0500031,NA,25394.75977,NA,0,25394.75977,2128.870117,18.98999977,1762.089966,679,430,150.1499939,0,0,5169.100098,5169.100098,5169.100098,3,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,1,1,0,1,0,1,1,0,1,0,0,0,3,0,1,1,0,0,0,0
Clare,Donal Carey,Donal,Carey,fg,4015,Yes,0,0,4,78643,0,0,0,0,7781,46889,0.300838143,14106,0.165945098,no,m,NA,4227,4591,0,0,0,0,0,0,0,0,0,0,0,0,0,Clare,1699.459961,14195.45996,3016,NA,NA,31743.44922,NA,0,12448.4502,1305,0,4203,2711,1895,0,0,2382,12496,12496,12496,2,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2,3,1,2,0,3,1,1,0,0,0,0,1
Kerry South,Donal Grady,Donal,Grady,ind,1346,No,0,0,3,50850,0,0,0,0,NA,NA,NA,NA,NA,no,m,NA,1449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KerryS,0,3550,NA,NA,NA,25394.75977,NA,0,25394.75977,600,0,750,1500,400,300,0,0,3550,3550,3550,3,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,1,1,0,1,0,1,1,0,1,0,0,0,3,0,1,1,0,0,0,0
Galway West,Donal Lyons,Donal,Lyons,pd,1935,No,0,0,5,80109,0,0,0,0,NA,NA,NA,NA,NA,minor,m,NA,2017,2017,2026,2058,2068,2545,2713,2787,2798,0,0,0,0,0,0,GalwayW,1157,17845.31055,2050,NA,NA,38092.14063,NA,0,18992.14063,2567.409912,1286.410034,5770,5930.589844,695.9000244,138,0,300,16688.31055,16688.31055,16688.31055,3,3,0,1,0,0,0,3,0,1,0,0,0,0,0,1,0,0,3,0,1,0,0,1,1,3,1,1,0,3,0,0,0,0,0,0,0
Cork North West,Donal Moynihan,Donal,Moynihan,ff,8893,Yes,0,1,3,53132,0,0,0,0,7867,34763,0.465034664,16166,0.226303831,minor,m,10/1/41,9485,10154,9705,0,0,0,0,0,0,0,0,0,0,0,0,CorkNW,4652.810059,22120.13086,2879.179932,NA,7618.430176,25394.75977,30.00000954,0,17776.33008,10196.45996,0,2306.189941,746.6799927,2748.610107,0,0,1469.380005,17467.32031,17467.32031,17467.32031,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,2,1,1,0,3,0,0,0,0,0,0,0
Westmeath,Donie Cassidy,Donie,Cassidy,ff,7892,No,0,1,3,53202,0,0,0,0,NA,NA,NA,NA,NA,no,m,9/1/45,7982,8558,0,0,0,0,0,0,0,0,0,0,0,0,0,Westmeath,7225.069824,22326.59961,1339.199951,172.3099976,9400,25394.75977,37.01551056,0,15994.75977,5889.080078,0,5756,629.2000122,2164.25,0,0,663,15101.53027,15101.53027,15101.53027,2,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,2,0,1,0,3,1,1,0,0,0,0,1
Dun Laoghaire,Eamon Gilmore,Eamon,Gilmore,lab,8271,Yes,0,1,5,90219,0,1,0,0,7534,54253,0.1388679,7534,0.1388679,minor,m,4/1/55,8284,8297,8343,8375,8414,8762,8942,8942,8942,8942,0,0,0,0,0,DunL,5201.040039,20541.46094,3886.48999,NA,NA,38092.14063,NA,0,22855.2793,250,0,2901.060059,5313.330078,2736.23999,12.5,0,4127.290039,15340.41992,15340.41992,15340.41992,1,2,0,2,0,0,0,2,0,2,0,0,0,0,0,2,0,0,2,0,1,0,0,1,1,2,1,1,1,3,0,0,1,0,1,0,1
Galway West,Eamon O Cuiv,Eamon,O Cuiv,ff,9947,Yes,0,1,5,80109,0,0,1,0,NA,NA,NA,NA,NA,minor,m,6/1/50,8245,8245,8245,8245,8245,8245,8245,8245,8245,8245,8245,8245,8245,8245,8245,GalwayW,4603.25,42986.25,22337.80078,NA,19046,38092.14063,49.99981689,1,19046.14063,3161,1268,8199,1924,3031,5009,0,15791,38383,38383,38383,1,3,0,1,0,0,0,3,0,1,0,0,0,0,0,1,0,0,3,0,1,0,0,1,1,3,1,1,0,3,0,0,0,0,0,0,0
Dublin North,Eamon Quinn,Eamon,Quinn,ind,285,No,0,0,4,71679,0,0,0,0,NA,NA,NA,NA,NA,minor,m,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DublinN,0,769.3699951,NA,NA,NA,31743.44922,NA,0,31743.44922,0,0,0,769.3699951,0,0,0,0,769.3699951,769.3699951,769.3699951,3,1,0,1,1,0,0,1,0,1,1,0,0,0,1,1,0,0,1,0,1,0,0,1,1,1,1,1,1,3,0,0,0,0,0,0,0
Sligo Leitrim,Eamon Scanlon,Eamon,Scanlon,ff,6345,No,0,0,4,68396,0,0,0,0,NA,NA,NA,NA,NA,no,m,NA,6381,6463,6856,6981,0,0,0,0,0,0,0,0,0,0,0,SligoL,4652.669922,23787.24023,673.5300293,NA,11743.48047,31743.44922,36.99497223,0,20000.44922,6784.100098,1054.780029,5395.490234,1524.569946,2802.100098,0,0,1573.530029,19134.57031,19134.57031,19134.57031,2,2,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,2,0,0,0,1,1,2,2,1,1,0,3,1,1,0,0,0,0,1
Dublin South,Eamonn Ryan,Eamonn,Ryan,gp,5222,No,0,1,5,91666,0,0,0,0,NA,NA,NA,NA,NA,minor,m,7/1/64,5482,5485,6161,7124,7319,8019,8546,9228,0,0,0,0,0,0,0,DublinS,0,10505,NA,NA,NA,38092.14063,NA,0,38092.14063,1361,155,3679,5015,295,0,0,0,10505,10505,10505,2,2,1,0,1,0,0,2,1,0,0,0,0,1,0,1,0,0,2,1,0,0,0,1,2,2,1,1,1,3,0,1,1,0,1,0,1
Dublin South West,Eamonn Walsh,Eamonn,Walsh,lab,971,No,0,0,4,67631,0,1,0,0,4070,41852,0.097247444,4070,0.097247444,major,m,NA,984,1004,1008,0,0,0,0,0,0,0,0,0,0,0,0,DublinSW,3603.840088,12459.03027,2785.399902,NA,NA,31743.44922,NA,0,19046.07031,1123.800049,0,1813.5,4317.890137,1200,400,0,0,8855.19043,8855.19043,8855.19043,3,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,1,0,1,1,0,1,1,1,1,1,0,3,0,0,0,0,0,0,0
Carlow Kilkenny,Eddie Collins Hughes,Eddie,Collins-Hughes,ind,1614,No,0,0,5,95060,0,0,0,0,NA,NA,NA,NA,NA,no,m,NA,1644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CarlowK,0,14558.25977,NA,NA,NA,38092.14063,NA,0,38092.14063,1165.569946,871.0599976,6450.77002,2733.040039,2521.110107,316.7099915,0,500,14558.25977,14558.25977,14558.25977,3,3,0,1,0,0,0,2,0,1,0,0,0,0,0,2,0,0,2,0,1,0,0,1,2,2,1,1,1,3,1,1,1,0,1,0,0
Limerick East,Eddie Wade,Eddie,Wade,ff,2918,Yes,0,0,5,79329,0,0,0,0,4798,49701,0.39719522,19741,0.096537292,minor,m,NA,4029,4042,4084,4105,4134,4266,4323,4529,0,0,0,0,0,0,0,LimerickE,2867.610107,7979.609863,2317.189941,NA,19046.07031,38092.14063,50,0,19046.14063,0,0,1633,850,991,38,0,1600,5112,5112,5112,2,2,0,1,0,0,0,2,0,1,0,0,0,0,0,1,0,0,2,0,1,0,0,2,2,2,2,2,0,3,0,0,0,0,0,0,0
Waterford,Eddie Walsh,Eddie,Walsh,ind,118,No,0,0,4,73511,0,0,0,0,NA,NA,NA,NA,NA,no,m,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Waterford,0,0,NA,NA,NA,31743.44922,NA,0,31743.44922,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,0,0,0,2,0,1,0,0,0,0,0,1,0,0,2,0,1,0,0,1,1,2,1,1,0,3,0,0,0,0,0,0,0
Cork South West,Edmund Butler,Edmund,Butler,ind,621,No,0,0,3,53672,0,0,0,0,NA,NA,NA,NA,NA,no,m,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CorkSW,0,1328.420044,NA,NA,NA,25394.75977,NA,0,25394.75977,188.4199982,300,760,0,0,80,0,0,1328.420044,1328.420044,1328.420044,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,2,1,1,2,0,3,0,1,1,0,0,0,0
Galway West,Eileen Manning,Eileen,Manning,ind,96,No,0,0,5,80109,0,0,0,0,NA,NA,NA,NA,NA,minor,f,NA,97,100,0,0,0,0,0,0,0,0,0,0,0,0,0,GalwayW,0,5164.950195,NA,NA,NA,38092.14063,NA,0,38092.14063,3159.459961,0,0,1570,185.4799957,250.0099945,0,0,5164.950195,5164.950195,5164.950195,3,3,0,1,0,0,0,3,0,1,0,0,0,0,0,1,0,0,3,0,1,0,0,1,1,3,1,1,0,3,0,0,0,0,0,0,0
Dublin South,Eithne Fitzgerald,Eithne,Fitzgerald,lab,5247,No,0,0,5,91666,0,0,0,0,6147,57986,0.106008343,6147,0.106008343,minor,f,NA,5400,5404,5723,6077,6232,6483,7108,8263,0,0,0,0,0,0,0,DublinS,6118.089844,19179.08984,NA,117.9599991,NA,38092.14063,NA,0,22855.2793,2400.790039,0,0,7094.25,3565.959961,0,0,0,13061,13061,13061,2,2,1,0,1,0,0,2,1,0,0,0,0,1,0,1,0,0,2,1,0,0,0,1,2,2,1,1,1,3,0,1,1,0,1,0,1
Kildare North,Emmet Stagg,Emmet,Stagg,lab,7051,Yes,0,1,3,58205,0,0,0,0,5964,31396,0.18996051,5964,0.18996051,minor,m,10/1/44,7168,8005,9472,8246,0,0,0,0,0,0,0,0,0,0,0,KIldareN,3413.840088,17774.08984,4529.549805,460.0499878,NA,25394.75977,NA,0,15236.86035,5816.029785,0,0,3890.23999,2633.389893,0,0,2020.589966,14360.25,14360.25,14360.25,2,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,1,1,1,0,3,0,0,0,0,0,0,0
Mayo,Enda Kenny,Enda,Kenny,fg,5834,Yes,0,1,5,92656,0,0,0,0,8568,61858,0.487535983,30158,0.138510779,no,m,4/1/51,5954,6045,6142,6478,6576,6707,7307,11922,10581,0,0,0,0,0,0,Mayo,1294.699951,15407.04004,2160.47998,262,NA,38092.14063,NA,0,15092.13965,1929.140015,19.69000053,1472,5543.299805,3304.860107,0,0,1843.349976,14112.33984,14112.33984,14112.33984,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,3,2,3,3,0,3,0,0,0,0,0,0,0
Dublin South East,Eoin Ryan,Eoin,Ryan,ff,5318,Yes,0,1,4,58662,0,0,1,0,6494,36671,0.257860422,9456,0.177088156,minor,m,2/1/53,5372,5408,5823,8642,6487,0,0,0,0,0,0,0,0,0,0,DublinSE,4617.77002,37144.98828,17244.28906,NA,15871,31743.44922,49.99771881,1,15872.4502,0,0,8398.480469,6134.450195,17394.28906,0,0,600,32527.2207,32527.2207,32527.2207,2,2,0,1,1,0,0,1,0,1,1,0,0,1,1,1,0,0,1,1,1,0,0,0,1,1,0,0,1,3,1,1,0,0,0,0,1
Dublin South Central,Eric Byrne,Eric,Byrne,lab,4159,No,0,0,5,85326,0,1,0,0,4586,40579,0.113014117,4586,0.113014117,major,m,NA,4188,4265,4365,4436,4568,4659,4839,5438,5658,5844,0,0,0,0,0,DublinSC,5521.339844,23310.80078,84.70999908,57.81000137,NA,38092.14063,NA,0,22855.2793,181.5,0,3981.129883,11943.58008,1078.25,605,0,0,17789.46094,17789.46094,17789.46094,2,2,0,2,0,0,0,2,0,1,0,0,0,0,0,2,0,0,2,0,1,1,0,1,2,2,1,1,0,3,0,1,1,0,0,1,1
Mayo,Ernie Caffrey,Ernie,Caffrey,fg,2290,No,0,0,5,92656,0,0,0,0,4579,61858,0.487535983,30158,0.074024379,no,m,NA,2419,2486,2558,0,0,0,0,0,0,0,0,0,0,0,0,Mayo,0,10718.20996,3537.800049,15,NA,38092.14063,NA,0,11192.13965,1917.140015,19.69000053,1472,3362.199951,2943.310059,75,0,928.8699951,10718.20996,10718.20996,10718.20996,3,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,3,2,3,3,0,3,0,0,0,0,0,0,0
Dublin North West,Eugene O'Brien,Eugene,O'Brien,gp,607,No,0,0,3,47394,0,0,0,0,NA,NA,NA,NA,NA,major,m,NA,629,635,704,0,0,0,0,0,0,0,0,0,0,0,0,DublinNW,0,0,NA,NA,NA,25394.75977,NA,0,10394.75977,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,0,0,0,2,0,1,0,0,0,0,0,1,0,0,2,0,1,0,1,1,1,2,1,1,0,3,0,0,0,1,0,0,0
Carlow Kilkenny,Fergal Browne,Fergal,Browne,fg,5468,No,0,0,5,95060,0,0,0,0,NA,NA,NA,NA,NA,no,m,NA,5530,5670,5762,5894,0,0,0,0,0,0,0,0,0,0,0,CarlowK,7926.049805,19153.71094,NA,NA,NA,38092.14063,NA,0,20951.14063,4832.310059,0,3491.350098,2904,0,0,0,0,11227.66016,11227.66016,11227.66016,2,3,0,1,0,0,0,2,0,1,0,0,0,0,0,2,0,0,2,0,1,0,0,1,2,2,1,1,1,3,1,1,1,0,1,0,1
Meath,Fergal O'Byrne,Fergal,O'Byrne,gp,2337,No,0,0,5,107894,0,0,0,0,NA,NA,NA,NA,NA,no,m,NA,2353,2406,2630,2830,0,0,0,0,0,0,0,0,0,0,0,Meath,0,3212.189941,NA,6.099999905,NA,38092.14063,NA,0,28092.14063,507,0,1423.290039,689.7000122,8.199999809,584,0,0,3212.189941,3212.189941,3212.189941,3,3,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1,1,2,3,1,1,0,3,0,1,0,1,0,0,0
Louth,Fergus O'Dowd,Fergus,O'Dowd,fg,5505,No,0,1,4,80924,1,0,0,0,4486,45008,0.278950423,12555,0.09967117,no,m,9/1/48,5540,5686,5688,6098,6346,7740,10175,0,0,0,0,0,0,0,0,Louth,2090.879883,19076.63086,3526.060059,NA,NA,31743.44922,NA,0,17000.44922,2436,0,3096.780029,4496.470215,2715.939941,0,0,4240.560059,16985.75,16985.75,16985.75,1,2,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,2,2,1,2,0,3,0,1,1,0,0,0,1
Galway West,Fidelma Healy Eames,Fidelma,Healy Eames,fg,1320,No,0,0,5,80109,0,0,0,0,NA,NA,NA,NA,NA,minor,f,NA,1340,1343,1347,0,0,0,0,0,0,0,0,0,0,0,0,GalwayW,2448.48999,14881.12012,NA,NA,NA,38092.14063,NA,0,15872.13965,2211.340088,4738,5037.290039,446,0,0,0,0,12432.62988,12432.62988,12432.62988,3,3,0,1,0,0,0,3,0,1,0,0,0,0,0,1,0,0,3,0,1,0,0,1,1,3,1,1,0,3,0,0,0,0,0,0,0
Dublin North Central,Finian McGrath,Finian,McGrath,ind,3781,No,0,1,4,65199,0,0,0,0,1551,43165,0.09433569,4072,0.035931889,major,m,4/1/53,3893,4021,4698,5756,7638,0,0,0,0,0,0,0,0,0,0,DublinNC,0,14407.33984,NA,NA,NA,31743.44922,NA,0,31743.44922,3049.199951,0,4066.540039,7291.600098,0,0,0,0,14407.33984,14407.33984,14407.33984,2,2,0,1,0,0,0,2,0,1,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,2,0,0,0,3,0,0,1,1,0,0,0
Dun Laoghaire,Fiona O'Malley,Fiona,O'Malley,pd,7166,No,0,1,5,90219,0,1,0,0,NA,NA,NA,NA,NA,minor,f,1/1/67,7171,7188,7217,7260,7309,7498,7577,7707,8259,9264,0,0,0,0,0,DunL,2945,26281,NA,875,NA,38092.14063,NA,0,27092.14063,2772,0,7161,5247,8156,0,0,0,23336,23336,23336,2,2,0,2,0,0,0,2,0,2,0,0,0,0,0,2,0,0,2,0,1,0,0,1,1,2,1,1,1,3,0,0,1,0,1,0,0
