DMA,state,region,avg_temp,republican,has_nfl_team,activity,market_share,name
New Orleans LA,LA,South,66.4,53.67,yes,CFB,11,Louisiana
New York NY,NY,Northeast,45.4,35.24,yes,CFB,3,New York
Norfolk-Portsmouth-Newport News VA,VA,South,55.1,44,no,CFB,6,Virginia
North Platte NE,NE,North Central,48.8,77.35,no,CFB,21,Nebraska
Odessa-Midland TX,TX,South,64.8,70.44,yes,CFB,9,Texas
Oklahoma City OK,OK,South,59.6,62.83,no,CFB,15,Oklahoma
Omaha NE,NE,North Central,48.8,55.34,no,CFB,16,Nebraska
Orlando-Daytona Beach-Melbourne FL,FL,South,70.7,49.22,yes,CFB,10,Florida
Ottumwa IA-Kirksville MO,MO,North Central,54.5,63.52,yes,CFB,6,Missouri
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,IL,North Central,51.8,71.45,yes,CFB,6,Illinois
Palm Springs CA,CA,West,59.4,44.73,yes,CFB,5,California
Panama City FL,FL,South,70.7,72.62,yes,CFB,23,Florida
Parkersburg WV,WV,South,51.8,69.63,no,CFB,13,West Virginia
Peoria-Bloomington IL,IL,North Central,51.8,52.81,yes,CFB,4,Illinois
Philadelphia PA,PA,Northeast,48.8,36.61,yes,CFB,4,Pennsylvania
Phoenix AZ,AZ,West,60.3,50.09,yes,CFB,6,Arizona
Pittsburgh PA,PA,Northeast,48.8,52.24,yes,CFB,6,Pennsylvania
Portland OR,OR,West,48.4,36.85,no,CFB,8,Oregon
Portland-Auburn ME,ME,Northeast,41,42.97,no,CFB,3,Maine
Presque Isle ME,ME,Northeast,41,55.54,no,CFB,2,Maine
Providence RI-New Bedford MA,MA,Northeast,47.9,40.21,yes,CFB,3,Massachusetts
Quincy IL-Hannibal MO-Keokuk IA,IA,North Central,47.8,68.03,no,CFB,5,Iowa
Raleigh-Durham (Fayetteville) NC,NC,South,59,40.6,yes,CFB,7,North Carolina
Rapid City SD,SD,North Central,45.2,66.94,no,CFB,6,South Dakota
Reno NV,NV,West,49.9,51.55,no,CFB,6,Nevada
Richmond-Petersburg VA,VA,South,55.1,44.06,no,CFB,6,Virginia
Roanoke-Lynchburg VA,VA,South,55.1,60.3,no,CFB,10,Virginia
Rochester MN-Mason City IA-Austin MN,MN,North Central,41.2,50.78,yes,CFB,6,Minnesota
Rochester NY,NY,Northeast,45.4,44.07,yes,CFB,3,New York
Rockford IL,IL,North Central,51.8,50.22,yes,CFB,4,Illinois
Sacramento-Stockton-Modesto CA,CA,West,59.4,40.26,yes,CFB,4,California
Salisbury MD,MD,South,54.2,57.38,yes,CFB,4,Maryland
Salt Lake City UT,UT,West,48.6,46.81,no,CFB,10,Utah
San Angelo TX,TX,South,64.8,74.12,yes,CFB,11,Texas
San Antonio TX,TX,South,64.8,49.36,yes,CFB,7,Texas
San Diego CA,CA,West,59.4,37.02,yes,CFB,5,California
San Francisco-Oakland-San Jose CA,CA,West,59.4,18.56,yes,CFB,4,California
Santa Barbara-Santa Maria-San Luis Obispo CA,CA,West,59.4,36.03,yes,CFB,5,California
Savannah GA,GA,South,63.5,54.52,yes,CFB,13,Georgia
Seattle-Tacoma WA,WA,West,48.3,32.15,yes,CFB,10,Washington
Sherman TX-Ada OK,OK,South,59.6,75.05,no,CFB,13,Oklahoma
Shreveport LA,LA,South,66.4,63.05,yes,CFB,11,Louisiana
Sioux City IA,IA,North Central,47.8,68.06,no,CFB,12,Iowa
Sioux Falls(Mitchell) SD,SD,North Central,45.2,61.41,no,CFB,6,South Dakota
South Bend-Elkhart IN,IN,North Central,51.7,58.42,yes,CFB,12,Indiana
Spokane WA,WA,West,48.3,56.02,yes,CFB,7,Washington
Springfield MO,MO,North Central,54.5,72.57,yes,CFB,7,Missouri
Springfield-Holyoke MA,MA,Northeast,47.9,34.52,yes,CFB,3,Massachusetts
St. Joseph MO,MO,North Central,54.5,64.68,yes,CFB,6,Missouri
St. Louis MO,MO,North Central,54.5,50.62,yes,CFB,5,Missouri
Syracuse NY,NY,Northeast,45.4,43.45,yes,CFB,5,New York
Tallahassee FL-Thomasville GA,GA,South,63.5,48.52,yes,CFB,23,Georgia
Tampa-St. Petersburg (Sarasota) FL,FL,South,70.7,52.1,yes,CFB,9,Florida
Terre Haute IN,IN,North Central,51.7,68.85,yes,CFB,5,Indiana
Toledo OH,OH,North Central,50.7,51.1,yes,CFB,13,Ohio
Topeka KS,KS,North Central,54.3,57.33,no,CFB,10,Kansas
Traverse City-Cadillac MI,MI,North Central,44.4,59.97,yes,CFB,10,Michigan
Tri-Cities TN-VA,VA,South,55.1,76.54,no,CFB,15,Virginia
Tucson (Sierra Vista) AZ,AZ,West,60.3,40.89,yes,CFB,6,Arizona
Tulsa OK,OK,South,59.6,65.59,no,CFB,16,Oklahoma
Twin Falls ID,ID,West,44.4,62.85,no,CFB,10,Idaho
Tyler-Longview(Lufkin & Nacogdoches) TX,TX,South,64.8,72.8,yes,CFB,10,Texas
Utica NY,NY,Northeast,45.4,57.47,yes,CFB,4,New York
Victoria TX,TX,South,64.8,68.36,yes,CFB,7,Texas
Waco-Temple-Bryan TX,TX,South,64.8,61.59,yes,CFB,14,Texas
Washington DC (Hagerstown MD),DC,Northeast,NA,29.9,yes,CFB,5,NA
Watertown NY,NY,Northeast,45.4,55.93,yes,CFB,4,New York
Wausau-Rhinelander WI,WI,North Central,43.1,55.86,yes,CFB,5,Wisconsin
West Palm Beach-Ft. Pierce FL,FL,South,70.7,45.87,yes,CFB,5,Florida
Wheeling WV-Steubenville OH,OH,North Central,50.7,67.75,yes,CFB,11,Ohio
Wichita Falls TX & Lawton OK,OK,South,59.6,73.72,no,CFB,12,Oklahoma
Wichita-Hutchinson KS,KS,North Central,54.3,65.22,no,CFB,8,Kansas
Wilkes Barre-Scranton PA,PA,Northeast,48.8,60.11,yes,CFB,7,Pennsylvania
Wilmington NC,NC,South,59,55.91,yes,CFB,7,North Carolina
Yakima-Pasco-Richland-Kennewick WA,WA,West,48.3,55.26,yes,CFB,7,Washington
Youngstown OH,OH,North Central,50.7,53.17,yes,CFB,8,Ohio
Yuma AZ-El Centro CA,CA,West,59.4,37.48,yes,CFB,4,California
Zanesville OH,OH,North Central,50.7,64.59,yes,CFB,14,Ohio
