DMA,state,region,avg_temp,republican,has_nfl_team,activity,market_share,name
North Platte NE,NE,North Central,48.8,77.35,no,CBB,5,Nebraska
Odessa-Midland TX,TX,South,64.8,70.44,yes,CBB,2,Texas
Oklahoma City OK,OK,South,59.6,62.83,no,CBB,3,Oklahoma
Omaha NE,NE,North Central,48.8,55.34,no,CBB,6,Nebraska
Orlando-Daytona Beach-Melbourne FL,FL,South,70.7,49.22,yes,CBB,3,Florida
Ottumwa IA-Kirksville MO,MO,North Central,54.5,63.52,yes,CBB,9,Missouri
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,IL,North Central,51.8,71.45,yes,CBB,11,Illinois
Palm Springs CA,CA,West,59.4,44.73,yes,CBB,3,California
Panama City FL,FL,South,70.7,72.62,yes,CBB,4,Florida
Parkersburg WV,WV,South,51.8,69.63,no,CBB,6,West Virginia
Peoria-Bloomington IL,IL,North Central,51.8,52.81,yes,CBB,4,Illinois
Philadelphia PA,PA,Northeast,48.8,36.61,yes,CBB,3,Pennsylvania
Phoenix AZ,AZ,West,60.3,50.09,yes,CBB,4,Arizona
Pittsburgh PA,PA,Northeast,48.8,52.24,yes,CBB,5,Pennsylvania
Portland OR,OR,West,48.4,36.85,no,CBB,3,Oregon
Portland-Auburn ME,ME,Northeast,41,42.97,no,CBB,2,Maine
Presque Isle ME,ME,Northeast,41,55.54,no,CBB,3,Maine
Providence RI-New Bedford MA,MA,Northeast,47.9,40.21,yes,CBB,3,Massachusetts
Quincy IL-Hannibal MO-Keokuk IA,IA,North Central,47.8,68.03,no,CBB,4,Iowa
Raleigh-Durham (Fayetteville) NC,NC,South,59,40.6,yes,CBB,10,North Carolina
Rapid City SD,SD,North Central,45.2,66.94,no,CBB,3,South Dakota
Reno NV,NV,West,49.9,51.55,no,CBB,3,Nevada
Richmond-Petersburg VA,VA,South,55.1,44.06,no,CBB,5,Virginia
Roanoke-Lynchburg VA,VA,South,55.1,60.3,no,CBB,6,Virginia
Rochester MN-Mason City IA-Austin MN,MN,North Central,41.2,50.78,yes,CBB,3,Minnesota
Rochester NY,NY,Northeast,45.4,44.07,yes,CBB,3,New York
Rockford IL,IL,North Central,51.8,50.22,yes,CBB,3,Illinois
Sacramento-Stockton-Modesto CA,CA,West,59.4,40.26,yes,CBB,2,California
Salisbury MD,MD,South,54.2,57.38,yes,CBB,3,Maryland
Salt Lake City UT,UT,West,48.6,46.81,no,CBB,3,Utah
San Angelo TX,TX,South,64.8,74.12,yes,CBB,2,Texas
San Antonio TX,TX,South,64.8,49.36,yes,CBB,2,Texas
San Diego CA,CA,West,59.4,37.02,yes,CBB,3,California
San Francisco-Oakland-San Jose CA,CA,West,59.4,18.56,yes,CBB,2,California
Santa Barbara-Santa Maria-San Luis Obispo CA,CA,West,59.4,36.03,yes,CBB,3,California
Savannah GA,GA,South,63.5,54.52,yes,CBB,4,Georgia
Seattle-Tacoma WA,WA,West,48.3,32.15,yes,CBB,3,Washington
Sherman TX-Ada OK,OK,South,59.6,75.05,no,CBB,3,Oklahoma
Shreveport LA,LA,South,66.4,63.05,yes,CBB,2,Louisiana
Sioux City IA,IA,North Central,47.8,68.06,no,CBB,7,Iowa
Sioux Falls(Mitchell) SD,SD,North Central,45.2,61.41,no,CBB,4,South Dakota
South Bend-Elkhart IN,IN,North Central,51.7,58.42,yes,CBB,9,Indiana
Spokane WA,WA,West,48.3,56.02,yes,CBB,13,Washington
Springfield MO,MO,North Central,54.5,72.57,yes,CBB,4,Missouri
Springfield-Holyoke MA,MA,Northeast,47.9,34.52,yes,CBB,3,Massachusetts
St. Joseph MO,MO,North Central,54.5,64.68,yes,CBB,5,Missouri
St. Louis MO,MO,North Central,54.5,50.62,yes,CBB,4,Missouri
Syracuse NY,NY,Northeast,45.4,43.45,yes,CBB,6,New York
