wage,age,education,marital,industry,health,hours,education_level
480000,55,20,married,management,good,40,professional_phd
26208,59,12,married,service,good,40,HS
145000,60,18,married,management,good,40,masters
40000,35,18,married,management,excellent,40,masters
75000,33,16,married,management,very_good,40,bachelors
20000,45,11,single,service,good,40,some_HS
42000,63,12,single,construction,very_good,40,HS
24000,32,16,married,management,good,30,bachelors
29000,29,18,married,management,very_good,40,masters
28800,28,13,single,service,good,40,some_college
300,22,13,single,service,good,20,some_college
95000,50,16,single,management,excellent,40,bachelors
150000,40,16,single,management,excellent,40,bachelors
155000,48,20,married,management,excellent,40,professional_phd
65000,56,16,married,management,very_good,40,bachelors
26500,47,12,married,construction,fair,40,HS
37000,57,16,married,management,very_good,40,bachelors
30938,32,12,married,service,very_good,36,HS
0,29,13,married,construction,excellent,40,some_college
12000,63,10,married,construction,good,35,some_HS
67000,41,13,single,management,very_good,40,some_college
80000,54,14,married,installation_production,fair,40,associate
0,49,18,married,management,very_good,20,masters
35000,19,11,single,transportation,excellent,40,some_HS
8400,36,12,single,management,very_good,40,HS
50000,50,16,single,management,excellent,40,bachelors
11320,33,12,married,service,very_good,25,HS
45000,48,16,married,service,good,40,bachelors
54000,36,16,single,management,very_good,38,bachelors
24000,25,16,single,service,good,29,bachelors
50000,35,16,single,management,very_good,50,bachelors
24000,28,11,single,service,very_good,40,some_HS
50000,28,18,single,service,excellent,40,masters
95000,51,12,married,installation_production,very_good,50,HS
22000,31,11,single,service,very_good,32,some_HS
40000,43,12,married,transportation,fair,80,HS
23000,38,13,married,installation_production,very_good,40,some_college
2500,34,18,married,management,excellent,2,masters
3.00E+05,49,16,married,management,very_good,45,bachelors
15000,48,13,married,management,fair,35,some_college
23000,53,12,married,transportation,very_good,50,HS
50000,48,12,married,management,good,40,HS
0,79,13,married,management,fair,25,some_college
56000,27,11,single,management,good,40,some_HS
32000,37,12,single,service,very_good,40,HS
65000,34,13,married,management,good,40,some_college
87000,30,14,married,management,excellent,40,associate
0,27,16,married,management,excellent,42,bachelors
35500,48,12,single,service,very_good,60,HS
30000,61,12,single,transportation,fair,60,HS
55000,51,12,married,transportation,good,50,HS
83000,57,16,married,installation_production,very_good,55,bachelors
26000,40,7.5,married,construction,very_good,40,less_than_HS
23000,57,12,married,service,very_good,30,HS
135000,67,18,single,management,very_good,40,masters
90000,52,16,married,service,excellent,40,bachelors
43825,29,18,married,management,very_good,40,masters
86000,58,18,married,management,very_good,40,masters
150000,46,18,married,management,very_good,40,masters
72000,32,12,married,service,good,40,HS
65000,33,16,single,management,good,40,bachelors
51700,43,12,married,management,excellent,45,HS
20000,65,14,married,service,poor,24,associate
13000,23,13,single,service,excellent,20,some_college
19000,32,13,married,service,good,40,some_college
15000,29,12,single,service,good,30,HS
30000,37,12,married,management,good,40,HS
62000,31,16,single,management,very_good,50,bachelors
106400,48,13,married,service,good,40,some_college
35000,22,16,single,service,excellent,40,bachelors
14000,18,12,single,installation_production,good,40,HS
35000,28,13,single,service,excellent,40,some_college
0,52,13,married,management,very_good,40,some_college
29000,30,13,single,service,fair,40,some_college
70000,29,12,married,installation_production,excellent,50,HS
