id,name,mobility,state,population,urban,seg_racial,seg_income,seg_poverty,seg_affluenc e,commute,income,gini,share_01,gini_99,middle_class,local_tax_rate,local_gov_spending,progressivity,eitc,school_spending,student_teacher_ratio,test_scores,hs_dropout,colleges,tuition,graduation,labor_force_participation,manufacturing,chinese_imports,teenage_labor,migration_in,migration_out,foreign_born,social_capital,religious,violent_crime,single_mothers,divorced,married,longitude,latitude
34702,Kapaa,0.099307157,HI,58463,0,0.064,0.013,0.011,0.014,0.37,38210,0.351,5.7,0.294,0.595,0.021,1405,1.05,0,6.563,18,NA,NA,0.017,1032,-0.244,0.631,0.024,NA,0.004,0.017,0.006,0.13,NA,0.523,0.002,0.207,0.098,0.546,-159.7645569,21.99382973
34703,Kahului,0.084893882,HI,128241,1,0.119,0.03,0.024,0.031,0.384,39556,0.391,9.414,0.297,0.589,0.021,1559,1.05,0,6.563,18.3,NA,NA,0.008,1032,-0.251,0.667,0.034,NA,0.004,0.024,0.024,0.165,NA,0.445,0.001,0.199,0.109,0.52,-156.808609,21.01157188
34801,Las Vegas,0.085848421,NM,49495,0,0.092,0.012,0.011,0.01,0.537,26569,0.381,7.039,0.311,0.464,0.017,2459,0,0,5.37,17.1,-13.802,-0.029,0.04,1750,-0.134,0.549,0.033,0.024,0.006,0.01,0.017,0.023,-1.273,0.738,0.002,0.266,0.124,0.492,-104.8272629,36.06868744
34802,Santa Fe,0.080323316,NM,218804,1,0.201,0.089,0.066,0.116,0.371,38838,0.49,11.007,0.38,0.474,0.013,2090,0,0,5.527,17.4,-16.69,0.012,0.032,9992,-0.182,0.653,0.035,0.828,0.006,0.02,0.024,0.078,0.311,0.576,0.002,0.236,0.134,0.519,-105.9622192,36.23500061
34803,Tucumcari,0.073033705,NM,10965,0,0.08,0.013,0.018,0.013,0.689,30332,0.442,9.005,0.352,0.45,0.014,2243,0,0,6.57,15.7,-11.254,0.039,0.091,780,-0.054,0.532,0.016,0.04,0.005,0.007,0.015,0.034,-0.96,0.893,0.002,0.255,0.109,0.562,-103.9974594,35.63302231
34804,Clayton,0.12230216,NM,4174,0,0,0,0,0,0.625,30305,0.389,NA,NA,NA,0.013,2538,0,0,6.4,13.5,NA,NA,NA,NA,NA,0.612,0.023,0.039,NA,0,0.005,0.022,-0.018,0.471,0.003,0.169,0.099,0.603,-103.4148178,36.28738022
34805,Alamosa,0.098867923,CO,46190,0,0.112,0.028,0.024,0.031,0.552,27094,0.444,9.743,0.346,0.486,0.031,2794,0,1.429,5.952,15.9,-4.938,NA,0.022,1574,-0.041,0.604,0.043,0.139,0.005,0.005,0.011,0.061,0.517,0.625,0.002,0.213,0.104,0.57,-105.8650208,37.70302963
34901,Albuquerque,0.065984614,NM,755244,1,0.177,0.096,0.082,0.111,0.273,35591,0.465,9.867,0.366,0.5,0.014,2022,0,0,5.091,17.4,-13.662,0.033,0.016,2527,-0.1,0.641,0.084,0.799,0.005,0.03,0.022,0.076,-0.76,0.547,0.003,0.239,0.125,0.515,-106.6865387,35.30916214
34902,Socorro,0.052117262,NM,21621,0,0.204,0.018,0.017,0.015,0.565,24360,0.423,7.177,0.352,0.451,0.01,1630,0,0,5.411,16.3,-15.373,-0.025,0.046,1704,0.159,0.563,0.056,1.193,0.005,0.014,0.021,0.056,-0.694,0.418,0.004,0.248,0.123,0.513,-107.2575073,33.99178696
35001,Phoenix,0.075277291,AZ,3303211,1,0.208,0.12,0.098,0.139,0.242,40624,0.49,16.807,0.322,0.502,0.024,3109,1.66,0,5.546,20.3,-10.107,NA,0.013,3653,-0.129,0.636,0.115,0.832,0.005,0.045,0.025,0.139,-1.483,0.394,0.002,0.203,0.11,0.55,-111.2946472,34.01496887
35002,Safford,0.110591903,AZ,42036,0,0.287,0.036,0.038,0.024,0.53,23579,0.287,6.422,0.222,0.675,0.022,2696,1.66,0,4.606,21.8,-7.113,NA,0.024,748,-0.15,0.528,0.028,0.013,0.004,0.02,0.018,0.029,-1.325,0.721,0.002,0.191,0.1,0.587,-109.8251343,33.35108948
35100,Tucson,0.070549995,AZ,999882,1,0.22,0.112,0.097,0.127,0.291,35571,0.477,12.39,0.353,0.518,0.024,2423,1.66,0,5.806,19.5,-10.137,NA,0.007,777,0.03,0.592,0.089,0.651,0.005,0.033,0.025,0.128,-0.867,0.452,0.002,0.239,0.117,0.534,-111.0153809,32.08977509
35201,Grand Junction,0.146367148,CO,187857,1,0.04,0.05,0.04,0.06,0.465,35421,0.423,10.695,0.316,0.582,0.027,2421,0,1.429,5.357,18.4,1.926,NA,0.011,1623,-0.07,0.632,0.072,0.467,0.006,0.024,0.016,0.038,0.151,0.301,0.002,0.19,0.115,0.595,-107.929718,38.24682617
35202,Gunnison,0.10619469,CO,14746,0,0.017,0.045,0.053,0.034,0.644,32805,0.486,12.096,0.365,0.527,0.054,3423,0,1.429,7.487,14.4,5.732,NA,0.068,1560,-0.061,0.73,0.02,0.019,0.007,0.013,0.019,0.029,1.798,0.381,0.001,0.166,0.08,0.462,-106.9783707,38.55570602
35300,Farmington,0.091447525,NM,168198,1,0.298,0.047,0.043,0.047,0.388,30450,0.44,10.796,0.332,0.538,0.028,2775,0,0,5.098,17.3,-8.531,0.005,0.012,1248,-0.135,0.631,0.039,0.128,0.005,0.046,0.043,0.025,-0.994,0.401,0.002,0.21,0.108,0.546,-107.6833267,37.35906219
35401,Flagstaff,0.081450909,AZ,289883,1,0.287,0.037,0.033,0.038,0.461,35102,0.447,12.415,0.323,0.548,0.027,2138,1.66,0,5.514,18.9,-4.78,NA,0.014,2482,0.064,0.589,0.062,0.24,0.006,0.052,0.035,0.052,-0.85,0.31,0.002,0.211,0.116,0.559,-111.7975159,35.68649292
35402,Cortez,0.126780629,CO,40087,0,0.383,0.029,0.049,0.018,0.502,28799,0.353,6.825,0.285,0.611,0.038,2973,0,1.429,6.648,16.7,-7.301,-0.013,NA,NA,NA,0.602,0.041,1.862,0.005,0.024,0.026,0.017,-0.997,0.352,0.001,0.194,0.106,0.577,-109.9322205,37.68797684
35500,Gallup,0.041061398,AZ,241691,0,0.476,0.063,0.069,0.056,0.468,20837,0.421,7.94,0.341,0.471,0.025,2278,1.66,0,6.187,17.6,-19.598,0.025,0.017,1923,-0.131,0.503,0.05,0.146,0.004,0.037,0.041,0.015,-2.204,0.425,0.002,0.268,0.079,0.496,-109.3631363,34.48004913
35600,Hilo,0.068267584,HI,148677,0,0.043,0.042,0.045,0.037,0.346,35010,0.439,10.432,0.334,0.534,0.02,1422,1.05,0,6.563,18.2,NA,NA,0.013,1697,-0.091,0.617,0.026,NA,0.004,0.029,0.016,0.102,NA,0.398,0.001,0.24,0.107,0.52,-155.5252686,19.57883072
35701,Twin Falls,0.087119184,ID,120807,0,0.033,0.035,0.019,0.049,0.505,35364,0.417,11.017,0.306,0.609,0.018,2187,0.4,0,5.491,18.6,1.241,0.011,0.017,2918,-0.211,0.666,0.098,0.188,0.006,0.018,0.018,0.084,0.172,0.45,0.001,0.156,0.108,0.598,-114.1120682,43.3184967
35702,Burley,0.113892369,ID,41590,0,0.041,0.021,0.023,0.019,0.536,28357,0.353,9.512,0.258,0.645,0.013,2119,0.4,0,4.1,19.6,-4.158,0.003,NA,NA,NA,0.634,0.156,0.434,0.006,0.008,0.019,0.092,-0.745,0.737,0.001,0.133,0.083,0.647,-113.5997849,42.5788765
35801,Boise City,0.073920421,ID,493970,1,0.085,0.072,0.061,0.083,0.342,35642,0.412,12.044,0.291,0.565,0.016,1584,0.4,0,5.057,19.5,-0.77,0.035,0.014,3783,-0.069,0.692,0.155,2.28,0.005,0.038,0.02,0.058,0.415,0.421,0.001,0.167,0.115,0.597,-115.8388214,43.88101196
35802,Ontario,0.08448416,OR,62170,0,0.093,0.016,0.008,0.021,0.49,27631,0.382,7.832,0.304,0.565,0.021,2174,0,1.19,5.991,18,-0.764,-0.004,0.016,1800,-0.219,0.571,0.146,0.353,0.005,0.013,0.016,0.072,-0.583,0.452,0.001,0.179,0.094,0.638,-117.264679,44.12631226
35803,McCall,0.124031007,ID,11127,0,0.006,0.017,0.014,0.019,0.561,33157,0.49,16.583,0.324,0.585,0.027,2807,0.4,0,7.824,16.5,10.852,0,0.09,4200,NA,0.599,0.069,0.086,0.007,0.042,0.033,0.015,1.175,0.285,0.002,0.144,0.116,0.661,-115.7999039,44.72644043
35901,St. George,0.108483292,UT,130138,1,0.028,0.031,0.026,0.033,0.575,31383,0.405,13.401,0.271,0.607,0.023,2203,0,0,4.922,22,0.549,-0.011,0.015,1340,-0.041,0.602,0.079,0.887,0.006,0.077,0.035,0.038,-1.208,0.755,0.001,0.136,0.072,0.634,-112.8234177,38.04713058
35902,Price,0.137343928,UT,54045,0,0.039,0.016,0.015,0.015,0.577,26759,0.288,5.884,0.229,0.619,0.033,2778,0,0,4.631,21,4.096,-0.015,0.037,1099,0.031,0.596,0.077,0.139,0.005,0.019,0.03,0.033,-0.176,0.772,0.001,0.13,0.079,0.598,-110.5037231,39.19399261
