"Route","Latitude","Longitude","Total"
4,44.912295,-93.301158,8
4,44.912297,-93.30371,3
4,44.912304,-93.306266,3
4,44.912309,-93.308216,29
4,44.912361,-93.289415,1
4,44.912371,-93.293223,0
4,44.912378,-93.295795,3
4,44.912386,-93.297833,0
4,44.9124,-93.300903,2
4,44.912402,-93.303456,1
4,44.912407,-93.290891,60
4,44.912409,-93.305997,0
4,44.912523,-93.290756,66
4,44.91404,-93.290752,9
4,44.914221,-93.2909,4
4,44.915848,-93.290773,12
4,44.916029,-93.290921,1
4,44.917662,-93.290782,5
4,44.917843,-93.29093,1
4,44.919475,-93.290787,17
4,44.919656,-93.290935,3
4,44.921242,-93.290781,10
4,44.921434,-93.290929,2
4,44.9231,-93.290779,29
4,44.923281,-93.290926,3
4,44.924867,-93.29076,32
4,44.925092,-93.290905,5
4,44.92667,-93.290762,24
4,44.926908,-93.290906,5
4,44.928486,-93.29074,12
4,44.928752,-93.290884,5
4,44.930264,-93.290726,37
4,44.930571,-93.290874,12
4,44.932119,-93.290716,27
4,44.932127,-93.290882,8
4,44.933867,-93.290856,45
4,44.933982,-93.29071,45
4,44.934125,-93.290657,2
4,44.935793,-93.290696,107
4,44.935974,-93.290844,11
4,44.937541,-93.290685,170
4,44.937568,-93.290828,31
4,44.939426,-93.290656,134
4,44.939607,-93.290804,17
4,44.941226,-93.29065,51
4,44.941407,-93.290798,13
4,44.942823,-93.290635,44
4,44.943004,-93.290782,10
4,44.944587,-93.290613,83
4,44.944859,-93.290753,14
4,44.946371,-93.290591,62
4,44.946398,-93.29073,24
4,44.946698,-93.288189,41
4,44.946698,-93.288027,132
4,44.948451,-93.288171,352
4,44.94846,-93.288016,424
4,44.95186,-93.287995,183
4,44.95204,-93.288143,39
4,44.953586,-93.28798,102
4,44.953857,-93.288128,20
4,44.955449,-93.28797,160
4,44.955629,-93.288118,56
4,44.957185,-93.28796,68
4,44.957468,-93.288108,21
4,44.959038,-93.287953,119
4,44.959218,-93.288101,94
4,44.960829,-93.287935,151
4,44.96101,-93.288083,147
4,44.962613,-93.287944,289
4,44.962785,-93.288111,117
4,44.966661,-93.288525,36
4,44.967071,-93.28799,107
4,44.969077,-93.288112,51
4,44.969257,-93.287332,57
4,44.971297,-93.288104,10
4,44.972546,-93.28564,56
4,44.972758,-93.285378,156
4,44.973065,-93.284351,369
4,44.973771,-93.28294,109
4,44.974525,-93.280837,174
4,44.974866,-93.280298,141
4,44.975229,-93.279151,98
4,44.975471,-93.278866,87
4,44.975904,-93.277863,343
4,44.976012,-93.284034,6
4,44.976296,-93.277054,146
4,44.9766,-93.272378,39
4,44.976968,-93.27224,27
4,44.977339,-93.275783,546
4,44.977804,-93.274981,487
4,44.978316,-93.274481,497
4,44.979387,-93.272978,344
4,44.979511,-93.272616,343
4,44.980623,-93.271051,380
4,44.980827,-93.270956,599
4,44.981375,-93.269992,45
4,44.981622,-93.269838,126
4,44.982297,-93.268913,45
4,44.98266,-93.268211,46
4,44.98381,-93.266864,16
4,44.98391,-93.266369,64
4,44.983921,-93.26664,44
4,44.984166,-93.268354,49
4,44.986238,-93.261188,8
4,44.986294,-93.262007,11
4,44.986874,-93.237745,86
4,44.987182,-93.239745,34
4,44.987197,-93.239366,84
4,44.987572,-93.257451,49
4,44.988286,-93.242209,47
4,44.988293,-93.242529,31
4,44.988601,-93.258453,136
4,44.988884,-93.253594,50
4,44.989254,-93.237004,7
4,44.98939,-93.24531,24
4,44.989396,-93.245016,53
4,44.989409,-93.251961,45
4,44.989531,-93.235772,11
4,44.989582,-93.255554,7
4,44.990076,-93.254133,21
4,44.99057,-93.252732,14
4,44.990626,-93.248575,21
4,44.990667,-93.248788,30
4,44.991449,-93.235807,30
4,44.991591,-93.237261,61
4,44.992535,-93.236183,NA
4,44.996764,-93.237062,6
4,44.996832,-93.23721,28
4,44.998819,-93.237137,107
4,44.998869,-93.23694,11
4,45.00182,-93.237261,14
4,45.001895,-93.237114,1
4,45.004777,-93.236554,301
4,45.004901,-93.23628,63
4,45.00607,-93.237236,116
4,45.006145,-93.237089,14
4,45.007648,-93.237246,59
4,45.007898,-93.237085,19
4,45.009459,-93.237088,4
4,45.009679,-93.237236,41
4,45.011528,-93.237232,49
4,45.011534,-93.237081,13
4,45.013065,-93.237072,21
4,45.013281,-93.237219,65
4,45.015089,-93.237215,33
4,45.015092,-93.237061,4
4,45.016695,-93.237063,9
4,45.0167,-93.237214,35
4,45.0185,-93.237048,2
4,45.018722,-93.237192,32
4,45.020303,-93.237036,15
4,45.020536,-93.237184,62
4,45.022141,-93.237186,21
4,45.02238,-93.237033,4
4,45.024174,-93.237183,28
4,45.024221,-93.237044,3
4,45.025735,-93.237205,28
4,45.02595,-93.237032,3
4,45.027544,-93.237038,6
4,45.027771,-93.237186,26
4,45.02936,-93.237038,2
4,45.029566,-93.237186,20
4,45.031143,-93.237189,16
4,45.031404,-93.237035,1
4,45.032782,-93.237033,4
4,45.033399,-93.237183,18
4,45.035418,-93.237036,6
4,45.035437,-93.237172,32
4,45.035571,-93.234839,2
4,45.035606,-93.229599,3
4,45.035609,-93.230946,3
4,45.035622,-93.227057,2
4,45.03563,-93.225877,0
4,45.035638,-93.222181,0
4,45.03564,-93.2239,0
4,45.035651,-93.218025,16
